page,page_title,line_item,col_1,col_2,col_3,col_4,col_5,col_6,col_7
2,Consolidated Statements of Income,Service,"$ 25,292","$ 25,006",1.1 %,"$ 50,430","$ 49,848",1.2 %,
2,Consolidated Statements of Income,Equipment,"5,555","4,791",15.9 %,"11,043","9,977",10.7 %,
2,Consolidated Statements of Income,Total Operating Revenues,"30,847","29,797",3.5 %,"61,473","59,825",2.8 %,
2,Consolidated Statements of Income,Equipment,"5,738","4,815",19.2 %,"11,432","9,958",14.8 %,
2,Consolidated Statements of Income,and amortization shown separately below),"6,412","6,627",(3.2) %,"12,751","13,438",(5.1) %,
2,Consolidated Statements of Income,"Selling, general and administrative","6,945","7,043",(1.4) %,"14,090","14,064",0.2 %,
2,Consolidated Statements of Income,Asset impairments and abandonments and restructuring,,480,%,504,639,(21.1) %,
2,Consolidated Statements of Income,Depreciation and amortization,"5,251","5,072",3.5 %,"10,441","10,119",3.2 %,
2,Consolidated Statements of Income,Total Operating Expenses,"24,346","24,037",1.3 %,"49,218","48,218",2.1 %,
2,Consolidated Statements of Income,Operating Income,"6,501","5,760",12.9 %,"12,255","11,607",5.6 %,
2,Consolidated Statements of Income,Interest Expense,"1,655","1,699",(2.6) %,"3,313","3,423",(3.2) %,
2,Consolidated Statements of Income,Equity in Net Income of Affiliates,485,348,39.4 %,"1,925",643,%,
2,Consolidated Statements of Income,Other Income (Expense) — Net,767,682,12.5 %,"1,222","1,133",7.9 %,
2,Consolidated Statements of Income,Income Before Income Taxes,"6,098","5,091",19.8 %,"12,089","9,960",21.4 %,
2,Consolidated Statements of Income,Income Tax Expense,"1,237","1,142",8.3 %,"2,536","2,260",12.2 %,
2,Consolidated Statements of Income,Net Income,"4,861","3,949",23.1 %,"9,553","7,700",24.1 %,
2,Consolidated Statements of Income,Net Income Attributable to Noncontrolling Interest,(361),(352),(2.6) %,(702),(658),(6.7) %,
2,Consolidated Statements of Income,Net Income Attributable to AT&T,"$ 4,500","$ 3,597",25.1 %,"$ 8,851","$ 7,042",25.7 %,
2,Consolidated Statements of Income,Preferred Stock Dividends and Redemption Gain,(36),(51),29.4 %,8,(101),%,
2,Consolidated Statements of Income,Net Income Attributable to Common Stock,"$ 4,464","$ 3,546",25.9 %,"$ 8,859","$ 6,941",27.6 %,
2,Consolidated Statements of Income,Common Stock,$ 0.62,$ 0.49,26.5 %,$ 1.22,$ 0.96,27.1 %,
2,Consolidated Statements of Income,Outstanding,"(000,000)","7,209","7,196",0.2 %,"7,211","7,194",0.2 %
2,Consolidated Statements of Income,Common Stock,$ 0.62,$ 0.49,26.5 %,$ 1.22,$ 0.96,27.1 %,
2,Consolidated Statements of Income,Outstanding with Dilution,"(000,000)","7,219","7,198",0.3 %,"7,221","7,195",0.4 %
