page,page_title,line_item,col_1,col_2,col_3,col_4,col_5,col_6
5,Supplementary Financial Data,Purchase of property and equipment,"$ 4,857","$ 4,321",12.4 %,"$ 9,097","$ 8,042",13.1 %
5,Supplementary Financial Data,Interest during construction,40,39,2.6 %,77,76,1.3 %
5,Supplementary Financial Data,Total Capital Expenditures,"$ 4,897","$ 4,360",12.3 %,"$ 9,174","$ 8,118",13.0 %
5,Supplementary Financial Data,Business acquisitions,$,$,%,$,$,%
5,Supplementary Financial Data,Spectrum acquisitions,13,2,%,14,147,(90.5) %
5,Supplementary Financial Data,Interest during construction - spectrum,15,57,(73.7) %,34,123,(72.4) %
5,Supplementary Financial Data,Total Acquisitions,$ 28,$ 59,(52.5) %,$ 48,$ 270,(82.2) %
5,Supplementary Financial Data,Cash paid for interest,"$ 1,512","$ 1,567",(3.5) %,"$ 3,316","$ 3,644",(9.0) %
5,Supplementary Financial Data,"Cash paid for income taxes, net of (refunds)",$ 869,$ 308,%,$ 880,$ 299,%
5,Supplementary Financial Data,Dividends Declared per Common Share,$ 0.2775,$ 0.2775,%,$ 0.5550,$ 0.5550,%
5,Supplementary Financial Data,Total Employees,"137,550","146,040",(5.8) %,,,
