page,page_title,line_item,col_1,col_2,col_3,col_4,col_5,col_6
7,Mobility,Service,"$ 16,853","$ 16,277",3.5 %,"$ 33,504","$ 32,271",3.8 %
7,Mobility,Equipment,"4,992","4,203",18.8 %,"9,911","8,803",12.6 %
7,Mobility,Total Operating Revenues,"21,845","20,480",6.7 %,"43,415","41,074",5.7 %
7,Mobility,Operations and support,"12,358","11,285",9.5 %,"24,662","22,924",7.6 %
7,Mobility,Depreciation and amortization,"2,556","2,476",3.2 %,"5,082","4,963",2.4 %
7,Mobility,Total Operating Expenses,"14,914","13,761",8.4 %,"29,744","27,887",6.7 %
7,Mobility,Operating Income,"$ 6,931","$ 6,719",3.2 %,"$ 13,671","$ 13,187",3.7 %
7,Mobility,Postpaid,"89,928","87,999",2.2 %,,,
7,Mobility,Postpaid phone,"73,408","71,930",2.1 %,,,
7,Mobility,Prepaid,"18,768","19,271",(2.6) %,,,
7,Mobility,Reseller,"9,549","8,204",16.4 %,,,
7,Mobility,Total Mobility Subscribers,"118,245","115,474",2.4 %,,,
7,Mobility,Postpaid Phone Net Additions,401,419,(4.3) %,725,768,(5.6) %
7,Mobility,Total Phone Net Additions,367,454,(19.2) %,671,804,(16.5) %
7,Mobility,Postpaid,479,593,(19.2) %,769,982,(21.7) %
7,Mobility,Prepaid,(152),82,%,(186),83,%
7,Mobility,Reseller,(38),322,%,(174),673,%
7,Mobility,Total Mobility Net Additions1,289,997,(71.0) %,409,"1,738",(76.5) %
