page,page_title,line_item,col_1,col_2,col_3,col_4,col_5,col_6
9,Consumer Wireline,Broadband,"$ 3,028","$ 2,741",10.5 %,"$ 6,012","$ 5,463",10.0 %
9,Consumer Wireline,Legacy voice and data services,265,323,(18.0) %,551,665,(17.1) %
9,Consumer Wireline,Other service and equipment,248,283,(12.4) %,500,569,(12.1) %
9,Consumer Wireline,Total Operating Revenues,"3,541","3,347",5.8 %,"7,063","6,697",5.5 %
9,Consumer Wireline,Operations and support,"2,248","2,249",%,"4,472","4,505",(0.7) %
9,Consumer Wireline,Depreciation and amortization,958,914,4.8 %,"1,907","1,795",6.2 %
9,Consumer Wireline,Total Operating Expenses,"3,206","3,163",1.4 %,"6,379","6,300",1.3 %
9,Consumer Wireline,Operating Income,$ 335,$ 184,82.1 %,$ 684,$ 397,72.3 %
9,Consumer Wireline,Broadband1,"14,262","13,836",3.1 %,,,
9,Consumer Wireline,Fiber Broadband Connections,"9,835","8,798",11.8 %,,,
9,Consumer Wireline,"Broadband Net Additions1,2",150,52,%,287,107,%
9,Consumer Wireline,Fiber Broadband Net Additions,243,239,1.7 %,504,491,2.6 %
