page,page_title,line_item,col_1,col_2,col_3,col_4,col_5,col_6
10,LATIN AMERICA SEGMENT,Wireless service,$ 662,$ 699,(5.3) %,"$ 1,277","$ 1,389",(8.1) %
10,LATIN AMERICA SEGMENT,Wireless equipment,392,404,(3.0) %,748,777,(3.7) %
10,LATIN AMERICA SEGMENT,Total Segment Operating Revenues,"1,054","1,103",(4.4) %,"2,025","2,166",(6.5) %
10,LATIN AMERICA SEGMENT,Operations and support,853,925,(7.8) %,"1,631","1,808",(9.8) %
10,LATIN AMERICA SEGMENT,Depreciation and amortization,155,172,(9.9) %,305,349,(12.6) %
10,LATIN AMERICA SEGMENT,Total Segment Operating Expenses,"1,008","1,097",(8.1) %,"1,936","2,157",(10.2) %
10,LATIN AMERICA SEGMENT,Operating Income,$ 46,$ 6,%,$ 89,$ 9,%
10,LATIN AMERICA SEGMENT,Postpaid,"6,180","5,494",12.5 %,,,
10,LATIN AMERICA SEGMENT,Prepaid,"17,440","16,809",3.8 %,,,
10,LATIN AMERICA SEGMENT,Reseller,223,333,(33.0) %,,,
10,LATIN AMERICA SEGMENT,Total Mexico Wireless Subscribers,"23,843","22,636",5.3 %,,,
10,LATIN AMERICA SEGMENT,Postpaid,183,142,28.9 %,343,258,32.9 %
10,LATIN AMERICA SEGMENT,Prepaid,64,67,(4.5) %,(46),146,%
10,LATIN AMERICA SEGMENT,Reseller,(12),(32),62.5 %,(30),(84),64.3 %
10,LATIN AMERICA SEGMENT,Total Mexico Wireless Net Additions,235,177,32.8 %,267,320,(16.6) %
