page,page_title,line_item,col_1,col_2,col_3,col_4
12,SUPPLEMENTAL SEGMENT RECONCILIATION,June,"30,",2025,,
12,SUPPLEMENTAL SEGMENT RECONCILIATION,Mobility,"$ 43,415","$ 24,662","$ 5,082","$ 13,671"
12,SUPPLEMENTAL SEGMENT RECONCILIATION,Business Wireline,"8,781","6,061","3,019",(299)
12,SUPPLEMENTAL SEGMENT RECONCILIATION,Consumer Wireline,"7,063","4,472","1,907",684
12,SUPPLEMENTAL SEGMENT RECONCILIATION,Total Communications,"59,259","35,195","10,008","14,056"
12,SUPPLEMENTAL SEGMENT RECONCILIATION,Latin America,"2,025","1,631",305,89
12,SUPPLEMENTAL SEGMENT RECONCILIATION,Segment Total,"61,284","36,826","10,313","14,145"
12,SUPPLEMENTAL SEGMENT RECONCILIATION,DTV-related retained costs,,113,100,(213)
12,SUPPLEMENTAL SEGMENT RECONCILIATION,Parent administration support,(1),861,10,(872)
12,SUPPLEMENTAL SEGMENT RECONCILIATION,Securitization fees,58,388,,(330)
12,SUPPLEMENTAL SEGMENT RECONCILIATION,Value portfolio,132,21,,111
12,SUPPLEMENTAL SEGMENT RECONCILIATION,Total Corporate,189,"1,383",110,"(1,304)"
12,SUPPLEMENTAL SEGMENT RECONCILIATION,Certain significant items,,568,18,(586)
12,SUPPLEMENTAL SEGMENT RECONCILIATION,Total Corporate and Other,189,"1,951",128,"(1,890)"
12,SUPPLEMENTAL SEGMENT RECONCILIATION,AT&T Inc.,"$ 61,473","$ 38,777","$ 10,441","$ 12,255"
12,SUPPLEMENTAL SEGMENT RECONCILIATION,June,"30,",2024,,
12,SUPPLEMENTAL SEGMENT RECONCILIATION,Mobility,"$ 41,074","$ 22,924","$ 4,963","$ 13,187"
12,SUPPLEMENTAL SEGMENT RECONCILIATION,Business Wireline,"9,668","6,754","2,748",166
12,SUPPLEMENTAL SEGMENT RECONCILIATION,Consumer Wireline,"6,697","4,505","1,795",397
12,SUPPLEMENTAL SEGMENT RECONCILIATION,Total Communications,"57,439","34,183","9,506","13,750"
12,SUPPLEMENTAL SEGMENT RECONCILIATION,Latin America,"2,166","1,808",349,9
12,SUPPLEMENTAL SEGMENT RECONCILIATION,Segment Total,"59,605","35,991","9,855","13,759"
12,SUPPLEMENTAL SEGMENT RECONCILIATION,DTV-related retained costs,,250,222,(472)
12,SUPPLEMENTAL SEGMENT RECONCILIATION,Parent administration support,,835,3,(838)
12,SUPPLEMENTAL SEGMENT RECONCILIATION,Securitization fees,55,315,,(260)
12,SUPPLEMENTAL SEGMENT RECONCILIATION,Value portfolio,165,51,9,105
12,SUPPLEMENTAL SEGMENT RECONCILIATION,Total Corporate,220,"1,451",234,"(1,465)"
12,SUPPLEMENTAL SEGMENT RECONCILIATION,Certain significant items,,657,30,(687)
12,SUPPLEMENTAL SEGMENT RECONCILIATION,Total Corporate and Other,220,"2,108",264,"(2,152)"
12,SUPPLEMENTAL SEGMENT RECONCILIATION,AT&T Inc.,"$ 59,825","$ 38,099","$ 10,119","$ 11,607"
