page,page_title,line_item,col_1,col_2,col_3,col_4
13,Discussion and Reconciliation of Non-GAAP Measures,Net Cash Provided by Operating Activities,"$ 9,763","$ 9,093","$ 18,812","$ 16,640"
13,Discussion and Reconciliation of Non-GAAP Measures,Less: Distributions from DIRECTV classified as operating activities,(503),(350),"(1,926)",(674)
13,Discussion and Reconciliation of Non-GAAP Measures,Less: Cash taxes paid on DIRECTV,251,121,251,270
13,Discussion and Reconciliation of Non-GAAP Measures,Less: Capital expenditures,"(4,897)","(4,360)","(9,174)","(8,118)"
13,Discussion and Reconciliation of Non-GAAP Measures,Less: Payment of vendor financing,(220),(550),(423),"(1,391)"
13,Discussion and Reconciliation of Non-GAAP Measures,Free Cash Flow,"4,394","3,954","7,540","6,727"
13,Discussion and Reconciliation of Non-GAAP Measures,Less: Dividends paid,"(2,044)","(2,099)","(4,135)","(4,133)"
13,Discussion and Reconciliation of Non-GAAP Measures,Free Cash Flow after Dividends,"$ 2,350","$ 1,855","$ 3,405","$ 2,594"
13,Discussion and Reconciliation of Non-GAAP Measures,Free Cash Flow Dividend Payout Ratio,46.5 %,53.1 %,54.8 %,61.4 %
13,Discussion and Reconciliation of Non-GAAP Measures,Capital expenditures,"$ (4,897)","$ (4,360)","$ (9,174)","$ (8,118)"
13,Discussion and Reconciliation of Non-GAAP Measures,Payment of vendor financing,(220),(550),(423),"(1,391)"
13,Discussion and Reconciliation of Non-GAAP Measures,Cash paid for Capital Investment,"$ (5,117)","$ (4,910)","$ (9,597)","$ (9,509)"
