page,page_title,line_item,col_1,col_2,col_3,col_4
14,"control. Because we do not control these entities, management excludes these results when evaluating the performance of our",Net Income,"$ 4,861","$ 3,949","$ 9,553","$ 7,700"
14,"control. Because we do not control these entities, management excludes these results when evaluating the performance of our",Income Tax Expense,"1,237","1,142","2,536","2,260"
14,"control. Because we do not control these entities, management excludes these results when evaluating the performance of our",Interest Expense,"1,655","1,699","3,313","3,423"
14,"control. Because we do not control these entities, management excludes these results when evaluating the performance of our",Equity in Net (Income) of Affiliates,(485),(348),"(1,925)",(643)
14,"control. Because we do not control these entities, management excludes these results when evaluating the performance of our",Other (Income) Expense - Net,(767),(682),"(1,222)","(1,133)"
14,"control. Because we do not control these entities, management excludes these results when evaluating the performance of our",Depreciation and amortization,"5,251","5,072","10,441","10,119"
14,"control. Because we do not control these entities, management excludes these results when evaluating the performance of our",EBITDA,"11,752","10,832","22,696","21,726"
14,"control. Because we do not control these entities, management excludes these results when evaluating the performance of our","Transaction, legal and other costs",49,35,128,67
14,"control. Because we do not control these entities, management excludes these results when evaluating the performance of our",Benefit-related (gain) loss,(70),(10),(64),(49)
14,"control. Because we do not control these entities, management excludes these results when evaluating the performance of our",Asset impairments and abandonments and restructuring,,480,504,639
14,"control. Because we do not control these entities, management excludes these results when evaluating the performance of our",Adjusted EBITDA1,"$ 11,731","$ 11,337","$ 23,264","$ 22,383"
