page,page_title,line_item,col_1,col_2,col_3,col_4
15,"Segment and Business Unit EBITDA, EBITDA Margin and EBITDA Service Margin",Operating Income,"$ 7,065","$ 7,005","$ 14,056","$ 13,750"
15,"Segment and Business Unit EBITDA, EBITDA Margin and EBITDA Service Margin",Add: Depreciation and amortization,"5,035","4,776","10,008","9,506"
15,"Segment and Business Unit EBITDA, EBITDA Margin and EBITDA Service Margin",EBITDA,"$ 12,100","$ 11,781","$ 24,064","$ 23,256"
15,"Segment and Business Unit EBITDA, EBITDA Margin and EBITDA Service Margin",Total Operating Revenues,"$ 29,699","$ 28,582","$ 59,259","$ 57,439"
15,"Segment and Business Unit EBITDA, EBITDA Margin and EBITDA Service Margin",Operating Income Margin,23.8 %,24.5 %,23.7 %,23.9 %
15,"Segment and Business Unit EBITDA, EBITDA Margin and EBITDA Service Margin",EBITDA Margin,40.7 %,41.2 %,40.6 %,40.5 %
15,"Segment and Business Unit EBITDA, EBITDA Margin and EBITDA Service Margin",Operating Income,"$ 6,931","$ 6,719","$ 13,671","$ 13,187"
15,"Segment and Business Unit EBITDA, EBITDA Margin and EBITDA Service Margin",Add: Depreciation and amortization,"2,556","2,476","5,082","4,963"
15,"Segment and Business Unit EBITDA, EBITDA Margin and EBITDA Service Margin",EBITDA,"$ 9,487","$ 9,195","$ 18,753","$ 18,150"
15,"Segment and Business Unit EBITDA, EBITDA Margin and EBITDA Service Margin",Total Operating Revenues,"$ 21,845","$ 20,480","$ 43,415","$ 41,074"
15,"Segment and Business Unit EBITDA, EBITDA Margin and EBITDA Service Margin",Service Revenues,"16,853","16,277","33,504","32,271"
15,"Segment and Business Unit EBITDA, EBITDA Margin and EBITDA Service Margin",Operating Income Margin,31.7 %,32.8 %,31.5 %,32.1 %
15,"Segment and Business Unit EBITDA, EBITDA Margin and EBITDA Service Margin",EBITDA Margin,43.4 %,44.9 %,43.2 %,44.2 %
15,"Segment and Business Unit EBITDA, EBITDA Margin and EBITDA Service Margin",EBITDA Service Margin,56.3 %,56.5 %,56.0 %,56.2 %
15,"Segment and Business Unit EBITDA, EBITDA Margin and EBITDA Service Margin",Operating Income (Loss),$ (201),$ 102,$ (299),$ 166
15,"Segment and Business Unit EBITDA, EBITDA Margin and EBITDA Service Margin",Add: Depreciation and amortization,"1,521","1,386","3,019","2,748"
15,"Segment and Business Unit EBITDA, EBITDA Margin and EBITDA Service Margin",EBITDA,"$ 1,320","$ 1,488","$ 2,720","$ 2,914"
15,"Segment and Business Unit EBITDA, EBITDA Margin and EBITDA Service Margin",Total Operating Revenues,"$ 4,313","$ 4,755","$ 8,781","$ 9,668"
15,"Segment and Business Unit EBITDA, EBITDA Margin and EBITDA Service Margin",Operating Income Margin,(4.7) %,2.1 %,(3.4) %,1.7 %
15,"Segment and Business Unit EBITDA, EBITDA Margin and EBITDA Service Margin",EBITDA Margin,30.6 %,31.3 %,31.0 %,30.1 %
15,"Segment and Business Unit EBITDA, EBITDA Margin and EBITDA Service Margin",Operating Income,$ 335,$ 184,$ 684,$ 397
15,"Segment and Business Unit EBITDA, EBITDA Margin and EBITDA Service Margin",Add: Depreciation and amortization,958,914,"1,907","1,795"
15,"Segment and Business Unit EBITDA, EBITDA Margin and EBITDA Service Margin",EBITDA,"$ 1,293","$ 1,098","$ 2,591","$ 2,192"
15,"Segment and Business Unit EBITDA, EBITDA Margin and EBITDA Service Margin",Total Operating Revenues,"$ 3,541","$ 3,347","$ 7,063","$ 6,697"
15,"Segment and Business Unit EBITDA, EBITDA Margin and EBITDA Service Margin",Operating Income Margin,9.5 %,5.5 %,9.7 %,5.9 %
15,"Segment and Business Unit EBITDA, EBITDA Margin and EBITDA Service Margin",EBITDA Margin,36.5 %,32.8 %,36.7 %,32.7 %
15,"Segment and Business Unit EBITDA, EBITDA Margin and EBITDA Service Margin",Operating Income,$ 46,$ 6,$ 89,$ 9
15,"Segment and Business Unit EBITDA, EBITDA Margin and EBITDA Service Margin",Add: Depreciation and amortization,155,172,305,349
15,"Segment and Business Unit EBITDA, EBITDA Margin and EBITDA Service Margin",EBITDA,$ 201,$ 178,$ 394,$ 358
15,"Segment and Business Unit EBITDA, EBITDA Margin and EBITDA Service Margin",Total Operating Revenues,"$ 1,054","$ 1,103","$ 2,025","$ 2,166"
15,"Segment and Business Unit EBITDA, EBITDA Margin and EBITDA Service Margin",Operating Income Margin,4.4 %,0.5 %,4.4 %,0.4 %
15,"Segment and Business Unit EBITDA, EBITDA Margin and EBITDA Service Margin",EBITDA Margin,19.1 %,16.1 %,19.5 %,16.5 %
