page,page_title,line_item,col_1,col_2,col_3,col_4
16,Adjusting Items,"Transaction, legal and other costs1",$ 49,$ 35,$ 128,$ 67
16,Adjusting Items,Benefit-related (gain) loss,(70),(10),(64),(49)
16,Adjusting Items,Asset impairments and abandonments and restructuring,,480,504,639
16,Adjusting Items,Adjustments to Operations and Support Expenses,(21),505,568,657
16,Adjusting Items,Amortization of intangible assets,9,15,18,30
16,Adjusting Items,Adjustments to Operating Expenses,(12),520,586,687
16,Adjusting Items,Equity in net income of DIRECTV,(503),(350),"(1,926)",(674)
16,Adjusting Items,"Benefit-related (gain) loss, impairments of investments and other",(189),(16),(125),238
16,Adjusting Items,Adjustments to Income Before Income Taxes,(704),154,"(1,465)",251
16,Adjusting Items,Tax impact of adjustments,(168),35,(333),57
16,Adjusting Items,Adjustments to Net Income,$ (536),$ 119,"$ (1,132)",$ 194
16,Adjusting Items,Preferred stock redemption gain,,,(90),
16,Adjusting Items,Adjustments to Net Income Attributable to Common Stock,$ (536),$ 119,"$ (1,222)",$ 194
