page,page_title,line_item,col_1,col_2,col_3,col_4,col_5
18,Net Debt to Adjusted EBITDA,Net Debt to Adjusted EBITDA -,2025,,,,
18,Net Debt to Adjusted EBITDA,"Sept. 30, Dec. 31, March 31, June","30,",,,,
18,Net Debt to Adjusted EBITDA,Adjusted EBITDA,"$ 11,586","$ 10,791","$ 11,533","$ 11,731","$ 45,641"
18,Net Debt to Adjusted EBITDA,End-of-period current debt,"9,254",,,,
18,Net Debt to Adjusted EBITDA,End-of-period long-term debt,"123,057",,,,
18,Net Debt to Adjusted EBITDA,Total End-of-Period Debt,"132,311",,,,
18,Net Debt to Adjusted EBITDA,Less: Cash and Cash Equivalents,"10,499",,,,
18,Net Debt to Adjusted EBITDA,Less: Time Deposits,"1,500",,,,
18,Net Debt to Adjusted EBITDA,Net Debt Balance,"120,312",,,,
18,Net Debt to Adjusted EBITDA,Annualized Net Debt to Adjusted EBITDA Ratio,2.64,,,,
18,Net Debt to Adjusted EBITDA,Net Debt to Adjusted EBITDA -,2024,,,,
18,Net Debt to Adjusted EBITDA,"Sept. 30, Dec. 31, March 31, June","30,",,,,
18,Net Debt to Adjusted EBITDA,Adjusted EBITDA,"$ 11,203","$ 10,555","$ 11,046","$ 11,337","$ 44,141"
18,Net Debt to Adjusted EBITDA,End-of-period current debt,"5,249",,,,
18,Net Debt to Adjusted EBITDA,End-of-period long-term debt,"125,355",,,,
18,Net Debt to Adjusted EBITDA,Total End-of-Period Debt,"130,604",,,,
18,Net Debt to Adjusted EBITDA,Less: Cash and Cash Equivalents,"3,093",,,,
18,Net Debt to Adjusted EBITDA,Less: Time Deposits,650,,,,
18,Net Debt to Adjusted EBITDA,Net Debt Balance,"126,861",,,,
18,Net Debt to Adjusted EBITDA,Annualized Net Debt to Adjusted EBITDA Ratio,2.87,,,,
