page,page_title,line_item,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9
19,Supplemental Operational Measures,"June 30, 2025 June","30,",2024,,,,,,,
19,Supplemental Operational Measures,Wireless service,"$ 16,853",$,"$ (14,390)","$ 2,463","$ 16,277",$,"$ (13,809)","$ 2,468",(0.2) %
19,Supplemental Operational Measures,services,,"2,349",,"2,349",,"2,839",,"2,839",(17.3) %
19,Supplemental Operational Measures,connectivity services,,"1,793",,"1,793",,"1,732",,"1,732",3.5 %
19,Supplemental Operational Measures,Wireless equipment,"4,992",,"(4,168)",824,"4,203",,"(3,459)",744,10.8 %
19,Supplemental Operational Measures,Wireline equipment,,171,,171,,184,,184,(7.1) %
19,Supplemental Operational Measures,Total Operating Revenues,"21,845","4,313","(18,558)","7,600","20,480","4,755","(17,268)","7,967",(4.6) %
19,Supplemental Operational Measures,Operations and support,"12,358","2,993","(10,072)","5,279","11,285","3,267","(9,201)","5,351",(1.3) %
19,Supplemental Operational Measures,EBITDA,"9,487","1,320","(8,486)","2,321","9,195","1,488","(8,067)","2,616",(11.3) %
19,Supplemental Operational Measures,Depreciation and amortization,"2,556","1,521","(2,098)","1,979","2,476","1,386","(2,025)","1,837",7.7 %
19,Supplemental Operational Measures,Total Operating Expenses,"14,914","4,514","(12,170)","7,258","13,761","4,653","(11,226)","7,188",1.0 %
19,Supplemental Operational Measures,Operating Income (Loss),"$ 6,931",$ (201),"$ (6,388)",$ 342,"$ 6,719",$ 102,"$ (6,042)",$ 779,(56.1) %
19,Supplemental Operational Measures,"June 30, 2025 June","30,",2024,,,,,,,
19,Supplemental Operational Measures,Wireless service,"$ 33,504",$,"$ (28,592)","$ 4,912","$ 32,271",$,"$ (27,417)","$ 4,854",1.2 %
19,Supplemental Operational Measures,services,,"4,824",,"4,824",,"5,836",,"5,836",(17.3) %
19,Supplemental Operational Measures,connectivity services,,"3,573",,"3,573",,"3,435",,"3,435",4.0 %
19,Supplemental Operational Measures,Wireless equipment,"9,911",,"(8,304)","1,607","8,803",,"(7,293)","1,510",6.4 %
19,Supplemental Operational Measures,Wireline equipment,,384,,384,,397,,397,(3.3) %
19,Supplemental Operational Measures,Total Operating Revenues,"43,415","8,781","(36,896)","15,300","41,074","9,668","(34,710)","16,032",(4.6) %
19,Supplemental Operational Measures,Operations and support,"24,662","6,061","(20,178)","10,545","22,924","6,754","(18,727)","10,951",(3.7) %
19,Supplemental Operational Measures,EBITDA,"18,753","2,720","(16,718)","4,755","18,150","2,914","(15,983)","5,081",(6.4) %
19,Supplemental Operational Measures,Depreciation and amortization,"5,082","3,019","(4,160)","3,941","4,963","2,748","(4,058)","3,653",7.9 %
19,Supplemental Operational Measures,Total Operating Expenses,"29,744","9,080","(24,338)","14,486","27,887","9,502","(22,785)","14,604",(0.8) %
19,Supplemental Operational Measures,Operating Income,"$ 13,671",$ (299),"$ (12,558)",$ 814,"$ 13,187",$ 166,"$ (11,925)","$ 1,428",(43.0) %
